team,market,odds,model_prob,implied_prob,EV,edge
South Africa,final,251.0,0.0226,0.004,4.6726,0.0186
Tunisia,final,151.0,0.0269,0.0066,3.0619,0.0203
Australia,final,126.0,0.0311,0.0079,2.9186,0.0232
Paraguay,final,51.0,0.0558,0.0196,1.8458,0.0362
Ecuador,final,29.0,0.0886,0.0345,1.5694,0.0541
Croatia,final,41.0,0.062,0.0244,1.542,0.0376
Scotland,final,81.0,0.0304,0.0123,1.4624,0.0181
Colombia,final,21.0,0.1018,0.0476,1.1378,0.0542
Uzbekistan,final,401.0,0.0046,0.0025,0.8446,0.0021
Ivory Coast,final,101.0,0.0165,0.0099,0.6665,0.0066
Austria,final,67.0,0.0244,0.0149,0.6348,0.0095
Switzerland,final,41.0,0.0394,0.0244,0.6154,0.015
Denmark,final,51.0,0.0308,0.0196,0.5708,0.0112
South Korea,final,126.0,0.0116,0.0079,0.4616,0.0037
Japan,final,34.0,0.0377,0.0294,0.2818,0.0083
Uruguay,final,23.0,0.0553,0.0435,0.2719,0.0118
Canada,final,81.0,0.0153,0.0123,0.2393,0.003
Algeria,final,126.0,0.0098,0.0079,0.2348,0.0019
Morocco,final,26.0,0.0423,0.0385,0.0998,0.0038
Iran,final,126.0,0.0086,0.0079,0.0836,0.0007
Saudi Arabia,final,251.0,0.004,0.004,0.004,0.0
France,final,5.0,0.1937,0.2,-0.0315,-0.0063
Mexico,final,23.0,0.0401,0.0435,-0.0777,-0.0034
Argentina,final,5.0,0.1774,0.2,-0.113,-0.0226
Australia,group,1.9,0.4225,0.5263,-0.1973,-0.1038
Paraguay,group,1.4,0.5301,0.7143,-0.2579,-0.1842
France,group,1.04,0.6948,0.9615,-0.2774,-0.2667
England,group,1.02,0.7015,0.9804,-0.2845,-0.2789
Spain,group,1.02,0.6999,0.9804,-0.2861,-0.2805
England,final,3.75,0.1855,0.2667,-0.3044,-0.0812
South Africa,group,2.1,0.3241,0.4762,-0.3194,-0.1521
Senegal,final,41.0,0.016,0.0244,-0.344,-0.0084
Spain,final,3.25,0.2004,0.3077,-0.3487,-0.1073
Argentina,group,1.03,0.6297,0.9709,-0.3514,-0.3412
Brazil,group,1.02,0.6285,0.9804,-0.3589,-0.3519
Colombia,group,1.14,0.5574,0.8772,-0.3646,-0.3198
Ecuador,group,1.1,0.5677,0.9091,-0.3755,-0.3414
Brazil,final,5.0,0.1246,0.2,-0.377,-0.0754
Portugal,group,1.03,0.5955,0.9709,-0.3866,-0.3754
Croatia,group,1.25,0.4885,0.8,-0.3894,-0.3115
Portugal,final,6.0,0.1011,0.1667,-0.3934,-0.0656
Germany,group,1.03,0.5801,0.9709,-0.4025,-0.3908
Switzerland,group,1.17,0.5103,0.8547,-0.4029,-0.3444
Canada,group,1.44,0.4058,0.6944,-0.4156,-0.2886
Japan,group,1.44,0.3898,0.6944,-0.4387,-0.3046
