player,minutes,cluster_id,final_rating
manneh,2213.0,1,10.0
Noren,2503.0,0,9.5
alex Johansson,644.0,1,9.0
Tom Pettersson,1620.0,0,8.5
herman johansson,2289.0,3,8.0
stroud,2449.0,3,7.5
iqbal,2081.0,0,7.0
jesper gustavsson,2339.0,0,6.5
Timo Stavitski,966.0,1,6.0
Uba Charles,486.0,3,5.5
Viktor Gustafsson,1989.0,3,5.0
jacob bergstrom,1919.0,1,4.5
Ludwig thorell,1249.0,3,4.0
ludvig Tidstrand,236.0,3,3.5
ludvig svanberg,113.0,2,3.0
Tchouante,129.0,2,2.5
Bang-Kittilsen,294.0,3,2.0
Tony Miettinen,139.0,2,1.5
Romeo Leandersson(17),383.0,3,1.0
isac johnsson,69.0,4,0.5
