player,np goals,xgot,npxg,shots,sot,assists,xa,succesful passes,succesful passes %,accurate long balls,accurate long balls %,chances created,succesful crosses,succesful crosses %,succesful dribbles,succesful dribbles %,touches,touches in opp box,dispossesed,fouls won,tackles,duels won,duels won %,aerial duels won,aetial duels won %,interceptions,blocked shots,recoveries,possesion won final 3rd,dribbled past,yellow cards,minutes,np goals_per90,xgot_per90,npxg_per90,shots_per90,sot_per90,assists_per90,xa_per90,succesful passes_per90,chances created_per90,succesful crosses_per90,succesful dribbles_per90,touches_per90,touches in opp box_per90,dispossesed_per90,fouls won_per90,tackles_per90,duels won_per90,aerial duels won_per90,interceptions_per90,blocked shots_per90,recoveries_per90,possesion won final 3rd_per90,dribbled past_per90,yellow cards_per90,cluster_id,performance_offset,confidence_weight,smoothed_score,final_rating
manneh,7.0,5.76,8.03,97.0,31.0,3.0,3.1,918.0,85.4,46.0,69.7,32.0,4.0,22.2,22.0,52.4,1522.0,81.0,-28.0,39.0,36.0,116.0,55.5,19.0,42.2,6.0,3.0,93.0,14.0,-11.0,-2.0,2213.0,0.28468142792589246,0.23425214640759148,0.32657026660641664,3.94487121554451,1.2607320379575238,0.12200632625395391,0.12607320379575238,37.333935833709894,1.3014008133755084,0.16267510167193855,0.894713059195662,61.89787618617262,3.2941708088567556,-1.1387257117035698,1.5860822413014009,1.464075915047447,4.717577948486218,0.7727067329417081,0.24401265250790782,0.12200632625395391,3.7821961138725713,0.5693628558517849,-0.447356529597831,-0.08133755083596927,2,0.7458554704605745,1.0,0.7458554704605745,9.382114080527277
iqbal,0.0,0.73,1.43,7.0,5.0,2.0,1.46,1280.0,87.2,47.0,50.5,4.0,0.0,0.0,14.0,60.9,1842.0,35.0,-12.0,11.0,40.0,90.0,59.2,25.0,58.1,30.0,17.0,107.0,9.0,-12.0,-6.0,2081.0,0.0,0.03157135992311389,0.06184526669870254,0.3027390677558866,0.21624219125420474,0.08649687650168189,0.06314271984622778,55.358000961076414,0.17299375300336378,0.0,0.6054781355117732,79.66362325804901,1.5136953387794332,-0.5189812590100913,0.4757328207592504,1.729937530033638,3.8923594425756844,1.0812109562710235,1.2974531475252282,0.735223450264296,4.627582892839981,0.38923594425756847,-0.5189812590100913,-0.25949062950504564,4,-0.05890642085791836,1.0,-0.05890642085791836,4.155471714326867
peterson*,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.5139273696535102,0.0,4.538047974732046
alex Johansson,6.0,5.51,2.89,25.0,11.0,0.0,1.01,106.0,67.5,4.0,50.0,12.0,0.0,0.0,9.0,64.3,323.0,37.0,-8.0,12.0,10.0,45.0,38.8,14.0,31.8,4.0,2.0,19.0,7.0,-5.0,-1.0,644.0,0.8385093167701864,0.7700310559006212,0.4038819875776398,3.493788819875776,1.5372670807453417,0.0,0.14114906832298138,14.813664596273293,1.6770186335403727,0.0,1.2577639751552796,45.139751552795026,5.170807453416149,-1.1180124223602483,1.6770186335403727,1.3975155279503106,6.288819875776397,1.9565217391304348,0.5590062111801242,0.2795031055900621,2.6552795031055902,0.9782608695652174,-0.6987577639751553,-0.13975155279503104,6,0.0,0.9508701870350186,0.0,4.538047974732046
Noren,2.0,2.29,1.85,21.0,5.0,1.0,2.18,1429.0,86.9,81.0,47.1,13.0,2.0,66.7,11.0,64.7,2199.0,61.0,-4.0,31.0,76.0,185.0,64.5,67.0,60.9,35.0,17.0,116.0,2.0,-23.0,-4.0,2503.0,0.07191370355573312,0.08234119057131443,0.06652017578905314,0.7550938873351977,0.17978425888933278,0.03595685177786656,0.0783859368757491,51.38234119057132,0.46743907311226524,0.07191370355573312,0.3955253695565321,79.06911705952857,2.19336795844986,-0.14382740711146624,1.1146624051138634,2.7327207351178586,6.652017578905314,2.4091090691170596,1.2584898122253296,0.6112664802237315,4.170994806232521,0.07191370355573312,-0.8270075908909308,-0.14382740711146624,4,0.8409932293379665,1.0,0.8409932293379665,10.0
Bang-Kittilsen,0.0,0.0,0.2,3.0,0.0,1.0,0.57,81.0,71.1,0.0,0.0,2.0,0.0,0.0,6.0,42.9,185.0,17.0,-5.0,7.0,3.0,17.0,39.5,1.0,14.3,3.0,0.0,12.0,4.0,-3.0,-1.0,294.0,0.0,0.0,0.06122448979591837,0.9183673469387754,0.0,0.30612244897959184,0.17448979591836733,24.795918367346935,0.6122448979591837,0.0,1.8367346938775508,56.632653061224495,5.204081632653061,-1.5306122448979593,2.142857142857143,0.9183673469387754,5.204081632653061,0.30612244897959184,0.9183673469387754,0.0,3.6734693877551017,1.2244897959183674,-0.9183673469387754,-0.30612244897959184,0,-0.41351901998224405,0.8358890220566956,-0.34565600921480116,2.293135086357154
Tchouante,0.0,0.0,0.0,0.0,0.0,0.0,0.04,83.0,83.8,5.0,50.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,-1.0,7.0,2.0,6.0,54.5,4.0,50.0,1.0,0.0,7.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02790697674418605,57.906976744186046,0.0,0.0,0.0,85.11627906976744,0.0,-0.6976744186046512,4.883720930232558,1.3953488372093024,4.186046511627907,2.7906976744186047,0.6976744186046512,0.0,4.883720930232558,0.0,0.0,0.0,1,0.18506451755890538,0.7154450928089214,0.13240350094056932,5.397961639773323
stroud,6.0,6.15,3.52,51.0,20.0,5.0,6.77,836.0,76.3,50.0,43.9,52.0,44.0,24.9,24.0,33.8,1981.0,111.0,-36.0,35.0,69.0,139.0,46.6,11.0,37.9,14.0,3.0,123.0,12.0,-29.0,-4.0,2449.0,0.22049816251531237,0.2260106165781952,0.12935892200898327,1.874234381380155,0.7349938750510413,0.18374846876276033,0.24879542670477744,30.722743977133522,1.9109840751327074,1.6169865251122908,0.8819926500612495,72.80114332380563,4.0792160065332785,-1.3229889750918744,1.2862392813393222,2.535728868926092,5.108207431604736,0.4042466312780727,0.5144957125357289,0.11024908125765619,4.520212331563903,0.44099632503062475,-1.0657411188240098,-0.14699877501020825,2,0.010943402336659608,1.0,0.010943402336659608,4.609121482188334
herman johansson,7.0,6.64,5.02,42.0,18.0,8.0,4.65,842.0,81.3,29.0,34.9,37.0,11.0,20.4,16.0,39.0,1616.0,124.0,-26.0,30.0,39.0,130.0,47.4,45.0,58.4,18.0,9.0,113.0,16.0,-12.0,-3.0,2289.0,0.27522935779816515,0.26107470511140235,0.19737876802096982,1.651376146788991,0.7077326343381388,0.3145478374836173,0.18283093053735258,33.106159895150725,1.45478374836173,0.4325032765399738,0.6290956749672346,63.53866317169069,4.875491480996068,-1.0222804718217562,1.1795543905635648,1.5334207077326345,5.111402359108781,1.7693315858453473,0.7077326343381388,0.3538663171690694,4.442988204456094,0.6290956749672346,-0.47182175622542594,-0.11795543905635648,2,0.020372085742468238,1.0,0.020372085742468238,4.670357428718495
jacob bergstrom,5.0,6.23,6.01,23.0,12.0,3.0,2.26,339.0,71.5,2.0,33.3,21.0,0.0,0.0,17.0,70.8,752.0,81.0,-23.0,25.0,12.0,104.0,38.8,50.0,37.6,5.0,5.0,42.0,14.0,-13.0,-4.0,1919.0,0.23449713392391872,0.29218342886920273,0.2818655549765503,1.078686816050026,0.5627931214174049,0.14069828035435122,0.10599270453361125,15.898905680041688,0.9848879624804586,0.0,0.7972902553413236,35.26836894215737,3.7988535695674828,-1.078686816050026,1.1724856696195936,0.5627931214174049,4.877540385617509,2.344971339239187,0.23449713392391872,0.23449713392391872,1.9697759249609172,0.6565919749869723,-0.6096925482021887,-0.18759770713913496,2,-0.698736935715449,1.0,-0.698736935715449,0.0
