player,minutes,cluster_id,final_rating
Uba Charles,486.0,0,9.8
Noren,2503.0,3,9.5
herman johansson,2289.0,1,8.9
Tom Pettersson,1620.0,3,8.7
manneh,2213.0,1,8.4
iqbal,2081.0,3,6.7
stroud,2449.0,1,6.5
Tchouante,129.0,2,6.5
alex Johansson,644.0,1,5.0
Viktor Gustafsson,1989.0,1,4.9
isac johnsson,69.0,4,4.6
Ludwig thorell,1249.0,1,2.9
Timo Stavitski,966.0,1,2.6
jesper gustavsson,2339.0,3,2.5
ludvig Tidstrand,236.0,1,2.4
ludvig svanberg,113.0,3,2.2
Tony Miettinen,139.0,3,1.6
Bang-Kittilsen,294.0,1,1.1
Romeo Leandersson(17),383.0,1,1.1
jacob bergstrom,1919.0,1,0.9
