player,cluster_id,confidence_weight,final_rating
manneh,0.0,1.0,7.6
Noren,1.0,1.0,7.5
ludvig Tidstrand,6.0,0.52,5.7
iqbal,1.0,1.0,5.6
stroud,0.0,1.0,5.5
herman johansson,0.0,1.0,5.5
Tony Miettinen,2.0,0.31,5.4
Tom Pettersson,1.0,1.0,5.2
ludvig svanberg,4.0,0.25,5.1
Ludwig thorell,0.0,1.0,5.1
alex Johansson,3.0,1.0,5.0
jacob bergstrom,3.0,1.0,5.0
Uba Charles,5.0,1.0,5.0
Tchouante,4.0,0.29,4.8
Bang-Kittilsen,6.0,0.65,4.1
Romeo Leandersson(17),2.0,0.85,3.8
Timo Stavitski,0.0,1.0,3.4
Viktor Gustafsson,0.0,1.0,2.9
jesper gustavsson,1.0,1.0,1.7
peterson*,,0.0,0.0
"Miftari (loan, 1 minute played)",,0.0,0.0
isac johnsson,,0.0,0.0
jeppe kjaer,,0.0,0.0
mans Isaksson (18 yo)(1 min played),,0.0,0.0
