Player,np goals,xGOT,npxG,Shots,SoT,Assists,xA,Succesful Passes,succesful passes %,accurate long balls,accurate long balls %,Chances Created,Succesful Crosses,Succesful crosses %,Succesful Dribbles,Succesful Dribbles %,Touches,Touches in opp box,Dispossesed,Fouls won,Tackles,Duels won,Duels won %,Aerial duels won,aetial duels won %,interceptions,Blocked shots,Recoveries,Possesion won final 3rd,dribbled past,yellow cards,minutes
manneh,7,5.76,8.03,97,31,3,3.1,918,85.4,46,69.7,32,4,22.2,22,52.4,1522,81,-28,39,36,116,55.5,19,42.2,6,3,93,14,-11,-2,2213
iqbal,0,0.73,1.43,7,5,2,1.46,1280,87.2,47,50.5,4,0,0,14,60.9,1842,35,-12,11,40,90,59.2,25,58.1,30,17,107,9,-12,-6,2081
peterson*,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,32
alex Johansson,6,5.51,2.89,25,11,0,1.01,106,67.5,4,50,12,0,0,9,64.3,323,37,-8,12,10,45,38.8,14,31.8,4,2,19,7,-5,-1,644
Lundin (GK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miftari (loan, 1 minute played)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Noren,2,2.29,1.85,21,5,1,2.18,1429,86.9,81,47.1,13,2,66.7,11,64.7,2199,61,-4,31,76,185,64.5,67,60.9,35,17,116,2,-23,-4,2503
Bang-Kittilsen,0,0,0.2,3,0,1,0.57,81,71.1,0,0,2,0,0,6,42.9,185,17,-5,7,3,17,39.5,1,14.3,3,0,12,4,-3,-1,294
Tchouante,0,0,0,0,0,0,0.04,83,83.8,5,50,0,0,0,0,0,122,0,-1,7,2,6,54.5,4,50,1,0,7,0,0,0,129
stroud,6,6.15,3.52,51,20,5,6.77,836,76.3,50,43.9,52,44,24.9,24,33.8,1981,111,-36,35,69,139,46.6,11,37.9,14,3,123,12,-29,-4,2449
herman johansson,7,6.64,5.02,42,18,8,4.65,842,81.3,29,34.9,37,11,20.4,16,39,1616,124,-26,30,39,130,47.4,45,58.4,18,9,113,16,-12,-3,2289
isac johnsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
jacob bergstrom,5,6.23,6.01,23,12,3,2.26,339,71.5,2,33.3,21,0,0,17,70.8,752,81,-23,25,12,104,38.8,50,37.6,5,5,42,14,-13,-4,1919
jeppe kjaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
jesper gustavsson,0,0,0.13,2,0,0,1.11,1276,84.1,55,35.5,7,2,40,6,46.2,1886,8,-10,45,50,120,54.8,19,48.7,31,20,150,10,-28,-8,2339
johan persson ahstedt (loan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liam svensson (loan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ludvig svanberg,0,0,0.04,1,0,0,0.02,77,95.1,3,75,0,0,0,0,0,93,1,0,0,2,6,40,4,36.4,1,0,0,0,0,0,113
ludvig Tidstrand,1,0.7,0.48,3,1,1,0.32,76,77.6,1,25,4,0,0,2,20,172,5,-6,3,9,18,33.3,4,22.2,4,1,20,4,-3,-1,236
Ludwig thorell,3,2,1.68,20,6,2,2.62,508,84.9,24,60,20,7,28,21,50,858,29,-22,13,17,57,43.5,7,58.3,8,1,34,6,-11,-4,1249
mans Isaksson (18 yo)(1 min played),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Noel Tornqvist (loan from como)(gk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olle Nilsson Lov (16, 1 min played)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Leandersson(17),0,0,0,0,0,1,0.17,119,82.6,2,40,5,0,0,2,28.6,221,2,-4,11,8,23,47.9,2,25,0,3,20,,-4,-1,383
Timo Stavitski,1,2.21,2.69,28,11,0,1.53,281,78.7,6,50,12,5,13.2,11,37.9,616,47,-8,12,15,49,43,11,52.4,4,2,39,2,-8,-2,966
Tom Pettersson,6,4.9,4.89,26,10,0,0.67,836,87.2,47,48,7,3,33.3,0,0,1270,56,-2,19,24,97,64.7,54,62.8,29,20,58,3,-3,-1,1620
Tony Miettinen,0,0,0,0,0,0,0.05,56,82.4,2,40,0,0,0,1,33.3,94,1,-1,0,4,7,63.6,2,66.7,0,0,7,0,0,0,139
Uba Charles,1,0.27,0.3,6,1,0,1.06,174,78.7,2,22.2,13,6,46.2,11,44,383,32,-8,0,35,53,49.5,7,38.9,8,1,28,0,-9,-1,486
Viktor Gustafsson,3,1.83,1.6,24,7,5,4.19,817,80.8,21,48.8,26,11,26.2,6,20.7,1390,56,-13,33,44,94,44.5,12,29.3,15,12,92,16,-15,-4,1989
