player,minutes,cluster_id,credibility_factor,raw_score,final_rating
Noren,2503.0,0,1.0,0.6588308944978741,10.0
herman johansson,2289.0,1,1.0,0.6363907525326269,9.715093338284765
manneh,2213.0,1,1.0,0.5863334266028422,9.079550762523287
stroud,2449.0,1,1.0,0.5148369893191856,8.171810904969545
Tom Pettersson,1620.0,0,0.5724743453556655,0.3121242163967641,5.598109744352609
Viktor Gustafsson,1989.0,1,0.8636448075357438,0.18399803336214487,3.9713819302754145
iqbal,2081.0,0,0.942232712617815,0.15362830863154966,3.585798946727245
Uba Charles,486.0,1,0.0030898044027183273,0.00022636645084555155,1.6381626387652153
Romeo Leandersson(17),383.0,1,0.0,-0.0,1.6352886235323965
Tchouante,129.0,0,0.0,-0.0,1.6352886235323965
Bang-Kittilsen,294.0,1,0.0,-0.0,1.6352886235323965
ludvig svanberg,113.0,0,0.0,-0.0,1.6352886235323965
Tony Miettinen,139.0,0,0.0,-0.0,1.6352886235323965
ludvig Tidstrand,236.0,1,0.0,-0.0,1.6352886235323965
alex Johansson,644.0,1,0.03865269959163464,-0.004579800233624212,1.5771421288308354
Ludwig thorell,1249.0,1,0.32307057563737007,-0.02206390339679329,1.3551587976639548
Timo Stavitski,966.0,1,0.16766861964621427,-0.023051262808709966,1.342622991322001
jesper gustavsson,2339.0,0,1.0,-0.046433430820864284,1.0457560890392705
jacob bergstrom,1919.0,1,0.8053968565092035,-0.12880045922863873,0.0
