player,minutes,cluster_id,final_rating
manneh,2213.0,4,10.0
alex Johansson,644.0,4,8.9
stroud,2449.0,4,8.8
herman johansson,2289.0,4,8.0
Tom Pettersson,1620.0,2,7.6
Uba Charles,486.0,0,7.0
Noren,2503.0,2,6.8
Timo Stavitski,966.0,4,5.1
jacob bergstrom,1919.0,4,4.6
Ludwig thorell,1249.0,4,4.4
iqbal,2081.0,2,4.2
Viktor Gustafsson,1989.0,4,3.4
jesper gustavsson,2339.0,2,2.8
ludvig Tidstrand,236.0,3,2.2
Bang-Kittilsen,294.0,3,1.8
Tchouante,129.0,2,1.2
ludvig svanberg,113.0,2,1.1
"Miftari (loan, 1 minute played)",1.0,1,1.1
mans Isaksson (18 yo)(1 min played),1.0,1,1.1
Tony Miettinen,139.0,2,0.8
peterson*,32.0,1,0.6
jeppe kjaer,44.0,1,0.4
Romeo Leandersson(17),383.0,2,0.4
isac johnsson,69.0,1,0.0
