iteration,delta_log_loss_gnn_minus_xgb,delta_brier_gnn_minus_xgb,delta_pr_gnn_minus_xgb,delta_roc_gnn_minus_xgb
1,0.007058069572967285,0.0010754986624768037,-0.020175531648179923,-0.03918489837357908
2,0.0101984268445926,0.002666347951798431,-0.021297709460236958,-0.03393359558797637
3,0.0016039587290202495,-0.0003381560741455847,-0.0006201709162519387,-0.016984255610699384
4,0.012698560641842993,0.0029690389662868355,-0.015286350434471907,-0.03826535044285306
5,0.002893584198910004,5.368386594606367e-05,0.002489892764258761,-0.024470570637185052
6,0.011247308001023915,0.002147227549765235,-0.004169940872313149,-0.04347109368024127
7,0.004972439368266968,-0.00014953677224099904,-0.011632312523396304,-0.02818183771997529
8,0.008178512504336544,0.0020771015244002433,-0.015244496591582446,-0.03254065754065749
9,0.004562169870591104,0.0013590105891039261,-0.023322590156775957,-0.02483090530697185
10,0.0102841615980519,0.0030931478142246505,-0.03126182531420668,-0.029179330429687567
11,0.0016855865055863672,-0.00018123957312507488,-0.004736389119584239,-0.016007041964588797
12,0.013184379650832578,0.0033300512482384026,-0.03355660050125164,-0.0410724467659801
13,0.018101994241414454,0.004914754563312168,-0.030348518771791455,-0.054517545222046104
14,0.0066294101036165065,0.0014774412695935657,-0.0032763999028426194,-0.029238345813937805
15,0.008379819763773888,0.0018894396090990695,-0.013566877394195376,-0.033415298252348014
16,0.003285035231783251,0.0006470320746591873,-0.02224823034868073,-0.021649536260554214
17,0.0074108251878245435,0.0015858115370107895,-0.016291879345202598,-0.03002082295379349
18,0.01003673842299857,0.00250203882530331,-0.03087786945190607,-0.03908221897657016
19,-0.00011949892854079547,-0.0009844110618855428,-0.0064976914494682125,-0.018133391710449476
20,0.013787717268804234,0.0035239716358035633,-0.022516191383347595,-0.03876242862587109
21,0.01736884828759161,0.005548711212688073,-0.04641875746349722,-0.053208483156146014
22,0.00714051868303045,0.002351239467975219,-0.03455893244055652,-0.03303591900053182
23,0.010575460272926995,0.00301779757712467,-0.013789966627380856,-0.03342335390946505
24,0.010193674571791433,0.0025265114274928002,-0.02547971559256962,-0.035536998410732656
25,0.004762814851013819,0.00037690531658837734,-0.0034899341497659497,-0.026729901871027528
26,0.009404443388748351,0.001964893712291832,-0.02106979489221178,-0.029875771306801524
27,0.007635143995197491,0.0006142342949002066,-0.010571073901461336,-0.0386683381362074
28,0.010010669196029776,0.0029241733492444966,-0.03232752962336971,-0.03898889672338657
29,0.009452077275955317,0.003614927944977392,-0.04328746209303863,-0.03823773194224478
30,0.008726424973380387,0.00294340152398051,-0.033065838527260305,-0.03118377785896964
31,0.013591713905500735,0.0032594731356744566,-0.03192223188293092,-0.04976310863149358
32,0.00925392714062806,0.002363490878714153,-0.025542018655601573,-0.04012536038830705
33,0.010562491764330217,0.0028727167411726484,-0.022987184691137252,-0.03266878717798527
34,0.013140376277405053,0.003638716418889326,-0.02998201779784615,-0.03972902850032445
35,0.006567712860006569,0.00217457614981012,-0.03305973629987613,-0.024986786082602852
36,0.006320889115616457,0.0018093716195505816,-0.02144587246185714,-0.03233261108876806
37,0.0029012923066312757,-4.3388530702404005e-05,0.0021385609660757865,-0.02052059193510547
38,0.011184427386156659,0.0028222205770998265,-0.03433225685918917,-0.045081292343262636
39,0.008019017552511665,0.0014339988191231223,-0.013780727617716593,-0.030611804212075655
40,0.014407682515058029,0.0036868476948914153,-0.04114875605494367,-0.04726983711587007
41,0.01415968137775614,0.003886610733154827,-0.03651297860745095,-0.04130771656998666
42,0.01890145763957407,0.005447054552212949,-0.041726076157001135,-0.05035391003049594
43,0.010741424392267218,0.001998236802005754,-0.02303378626569641,-0.046244560599428386
44,0.005160808815135531,0.0007907349912549821,-0.009527055679869001,-0.03279353899473336
45,0.014105313027757083,0.004513678342197819,-0.040618345709609316,-0.039095931692616825
46,0.007914670771421384,0.002119577452389998,-0.031521257705593,-0.02690809020505569
47,0.010629179611822415,0.0019527716156155783,-0.008340416142642249,-0.036190582538877414
48,0.010045275940425702,0.0021899509973053732,-0.028370077994366416,-0.0377337240894573
49,0.012468846620531882,0.0029213710328508946,-0.019019379007338633,-0.04449851745707123
50,0.006226158281768979,0.0018034424053010867,0.0017912247335398201,-0.018920612512424717
51,-0.002077289257320758,-0.0008710117562904518,-0.005279225226769491,-0.016055198792855552
52,0.005147789687795945,0.0012202554008868827,-0.012486595601870265,-0.03220066171868008
53,0.011761272705544723,0.003423965849619154,-0.03668605950700088,-0.041350649990845145
54,-0.0009308064640919378,-0.0009775926752330355,-0.004341067647035957,-0.006650826972863455
55,0.014658291479560659,0.003927364716381221,-0.042711129850673546,-0.04894788633396918
56,0.013302541387977707,0.004061893012463347,-0.03983025495608222,-0.046191710048593015
57,0.0018480767981897683,-0.00027964205872221815,-0.003915759858158674,-0.02376691634171979
58,0.004727750862599356,0.00022587228726503317,-0.007411479468477977,-0.032882431640885
59,0.010187519925017152,0.0017659052475519077,-0.006005652607785961,-0.03269448403243591
60,0.0025212535196397767,-0.00019749673733593376,-0.01721697169061115,-0.01902573895055104
61,0.006781831289640883,0.0015819897390979831,-0.026221783039499347,-0.025708282081955525
62,0.016902233761953322,0.004677113899054064,-0.04203115940612434,-0.053510919684026104
63,0.012072419949356594,0.0025604755931895595,-0.01956250051654701,-0.048357431956286834
64,0.0028490096718912783,-0.0004899722920366778,-0.0011596714144587739,-0.01190399307685841
65,0.0013555266010688571,-0.00041466832007333587,-0.006255068963460619,-0.01654988542217517
66,0.008288295219054553,0.0024176166936243915,-0.026093657428819084,-0.03378812355242411
67,0.017947884164031702,0.005305846993446134,-0.03774685648473902,-0.04947432406979324
68,0.010434087850881735,0.002990978991901594,-0.030998994222128706,-0.037238023952095745
69,0.002856159357891075,0.00043284389179382154,-0.012168261362371646,-0.022835355643145983
70,-0.0007564889502656991,-0.0007231745561884495,-0.006525857900196219,-0.006472321428571459
71,0.013129948383024947,0.003330404360242456,-0.0294814035065612,-0.04685307979443176
72,0.001118634490618109,-0.0013432275860864318,0.015702321849487666,-0.014277127466243322
73,0.01066293893221637,0.0016990377270267865,-0.004402566167226563,-0.030875848103124492
74,0.004393338019075377,0.0008226853703240944,-0.002994855761699111,-0.027528861288794726
