iteration,delta_log_loss_residual_minus_xgb,delta_brier_residual_minus_xgb,delta_pr_residual_minus_xgb,delta_roc_residual_minus_xgb
1,0.0031743302311930677,0.0011027684409548322,-0.0053695551249366424,-0.006683853243883542
2,0.002121772788309495,0.0009840531207114533,-0.007841639894690444,-0.0032896526779742086
3,0.0019968688615812358,0.0008108963560757299,-0.0025787543302554505,-0.003192699221997053
4,0.001063881926706145,0.00034022935749844496,-0.00025129291203868087,-0.002487030608805618
5,0.0011908784249128335,0.0004898448880953366,-0.00045441879071206337,-0.0009739953442003957
6,0.0011756222363886737,0.00043141092276019477,-0.0016446136464897676,-0.0023795732184300755
7,0.002430076400833814,0.001037443635255153,-0.004910997964083896,-0.0031300127584165116
8,0.002215805846878305,0.0010310327262739172,-0.006692930309645906,-0.0024323708534235156
9,0.0014488977096270839,0.000608817906128295,-0.0029916093411320177,-0.00247903531860183
10,0.002018587090041546,0.0008855075022641545,-0.00871925492479253,-0.0028921004095699976
11,0.0021678473512110052,0.0009469234139561633,-0.004721379946572513,-0.0021782348092365122
12,0.003510603236352161,0.0014067032445477523,-0.009081690188138425,-0.006069726899155192
13,0.0006863073165556122,0.0002125415861558011,-0.004393839606722405,-9.577651456316172e-05
14,-0.0001890065139672492,-1.3396107240604138e-05,0.0001939090414763145,0.0010686095931996542
15,0.0015279780969796875,0.0006163489849574377,-0.0029653519840229237,-0.0016265038563494372
16,0.0010466879571292553,0.0005752748567369181,-0.0038930900032448368,-0.0006979386172392132
17,0.0019180896391733926,0.0008403836830678524,-0.004155847968183968,-0.00296056413597523
18,0.0026080891790500327,0.0012293158415246364,-0.012070222787084361,-0.002600991770231209
19,0.0016505986255406224,0.0006312927965244908,-0.0024734287659209375,-0.0027753453979373344
20,0.0018180773588737376,0.000687575440897481,-0.003958398802412111,-0.0031076675973314982
21,0.002383037864356341,0.0010274343604185499,-0.007507011607029268,-0.004148759428112325
22,0.0031397088325942346,0.0013763906354024302,-0.008687359650366877,-0.004696186949868841
23,0.0004364392330106215,0.0002017890551460899,2.9351284790757326e-05,-0.001460048010973991
24,0.002789510503594883,0.0011050264165328727,-0.004426785047808635,-0.004696441022423614
25,0.0016173933490188919,0.0007753547570905628,-0.0039856917994792185,-0.0028976415710160186
26,0.003043778524781937,0.0011457199533311258,-0.004109811324657764,-0.004995687316808661
27,0.0008661679551474899,0.00036035527157698977,-0.00282732254167406,-0.0016818728781526904
28,0.0016652845577661557,0.0006056897474834011,-0.0030704390263590065,-0.00438849857987933
29,0.002430002998125791,0.0009760565783021313,-0.00508021729830227,-0.0044139125290408865
30,0.0017661633229176799,0.0008284379283923227,-0.004807862436197963,-0.0020277676287907553
31,0.0013452929975293904,0.0005738239536075274,-0.0029947038873793796,-0.0020747896300740143
32,0.0015027283116422763,0.0006616593879850974,-0.007184400658272194,-0.0016094303127622833
33,0.0014818754618486363,0.0006502507825500159,-0.007965855249449094,-0.002139180530501217
34,0.0017463877028469632,0.000807134987467234,-0.0072643068866033444,-0.0029478244178813284
35,0.0017230301038839713,0.0007610002019799167,-0.007878623367763682,-0.002789987380063308
36,0.002636112179921435,0.001266716775155552,-0.009193667592364618,-0.002804482514306761
37,0.0007708245364298483,0.00041332510785827004,-0.0020782315020507758,-0.0007191719600019297
38,0.003110697090908665,0.0012329287312606019,-0.007060145165502463,-0.005868406549091376
39,0.0019448594365759075,0.0007492199636848218,-0.0019989545537996145,-0.002622962378646121
40,0.0022686825967041524,0.0009053850453052681,-0.0035494520198391943,-0.003225697019040963
41,0.0022954989976682327,0.0009016182774072568,-0.006631299295723481,-0.00420043608836973
42,0.0018316868307259315,0.0007342751234726275,-0.007151226273361899,-0.004053608820502874
43,0.001903467075725973,0.0008686583512706181,-0.0037567817091508915,-0.0022744633553912763
44,0.002026774563130329,0.0008931029144238489,-0.005395683761550807,-0.003392854104843024
45,0.000736067778760674,0.00024159423093803034,-0.0006713801748576831,-0.001070651264021505
46,0.002043999010902464,0.0009511158081998428,-0.008375804663478537,-0.0028777620833536632
47,0.0010610384606035694,0.00044577996377698215,-0.0013611201422580321,-0.0017494312022222624
48,0.0022867240586578186,0.0009970193498831381,-0.0062303550980361,-0.0033375943836342348
49,0.0019283568748781899,0.0008095306455615237,-0.005917810330567097,-0.0027231252757324853
50,0.0006330381021805165,0.0003101463369095392,-0.00361959599715439,-0.0021593511862746384
51,0.0006091575949578321,0.00032627927733469564,-0.0008279218505665153,-0.0014045338105764804
52,0.0008161685422883869,0.00041951462551673147,-0.0013681452519748727,-0.0006804158910033165
53,0.0012112148530263322,0.0005091975727992415,-0.0006109550647822592,-0.0029823523612343417
54,0.0030329811074139013,0.001212161512772203,-0.007067874367054028,-0.0055601014098111134
55,0.001293665863056015,0.000712451123337815,-0.005102472663161606,-0.0015945376041772708
56,0.002277013010594131,0.0009652935084091541,-0.007506009814455261,-0.0036590456238727587
57,0.0015424297401723797,0.0006851763757106111,-0.00273758091768872,-0.003232988744849008
58,0.0024752215706240754,0.0010489996991861483,-0.0034468449134668067,-0.003936306877180051
59,0.0005006228179632588,0.00018928081555255605,-0.0024480283877212905,-0.0008574850650862054
60,0.0020908528472941557,0.0008357191502531003,-0.005474957600152763,-0.003513744679158326
61,0.00139852873211882,0.0006901488419777113,-0.004936270229873585,-0.0013651087654841243
62,0.0013519354889607316,0.0007189446443112979,-0.006660273454825505,-0.0016004217750296146
63,0.0014380317344406812,0.0004699140772168875,-0.0034035254347033472,-0.0038297071639137314
64,0.0031954202873031856,0.0013713356193691406,-0.008186990244448633,-0.0045312025729288274
65,0.0010521074915266215,0.0006024349904007187,-0.0033771317383369803,-0.0012845936894058108
66,0.0033588663079942016,0.0014904845068287875,-0.009665890981275627,-0.004483024841537064
67,0.0014193969809518925,0.0006289220803138984,-0.0076380166823972195,-0.002362117087036042
68,0.0012265197090582936,0.00042134679471961256,-0.0028927541315079686,-0.0026432641962450543
69,0.002219512290316805,0.000993279164873434,-0.009183002568070697,-0.002535830520991711
70,0.0020064615230945826,0.000957245873225987,-0.005423702435081168,-0.002714285714285669
71,0.002463823192780157,0.001098562347017329,-0.006065555148978996,-0.003936092001378011
72,0.0017176576287079026,0.0007791367819476314,-0.0039052838343438534,-0.0024315911477056362
73,0.00205330226504552,0.0008768522878438156,-0.005390314897047832,-0.0030000978874661355
74,0.0005777180964909867,0.0003776817634390528,-0.001820186870978513,-0.00038992043709373814
75,0.0017854316782373036,0.0007622306036369764,-0.004768530583958208,-0.0030063415632032298
76,0.001449505440097476,0.0005839141843620443,-0.0012113560744457241,-0.0019198850214109386
77,0.002192408732196005,0.0007709882436049142,-0.006154217388822714,-0.004769952671544675
78,0.002354073905996401,0.0009141106189656245,-0.006607443749207242,-0.004141875630095382
79,0.0011685353395454179,0.0005584982487232826,-0.0017773304963009107,-0.0011301617966675837
80,0.001525203578499279,0.000599187640217963,-0.003342996132534415,-0.0020391382005584546
81,0.002598808049064427,0.0009704058314390085,-0.00793356492012054,-0.00537966067255935
82,0.00292923754397989,0.0012000262943875906,-0.011584126033764908,-0.004751194158082672
83,0.0018504932400281726,0.0006884809211177012,-0.006070232163750744,-0.0039570676282357775
84,0.0010300415302357813,0.00046048255625538714,-0.008203495304322683,-0.0010863374929193093
85,0.002491240473212808,0.0009778579115003183,-0.00886558059493009,-0.005258584937671618
86,0.0023876896860648977,0.0010818662002473056,-0.00794388326836587,-0.004088363047345167
87,0.0012162477452518639,0.0005197455633589865,-0.0019830273410479937,-0.0015835740397185383
88,0.0016573317477464045,0.0006356368422770486,-0.003992841521321844,-0.0029954674675555237
89,0.001423173111510967,0.00061251429101708,-0.0023746433533338163,-0.0020785749328664505
90,0.0018918176474588266,0.0007506621469523522,-0.006822765264860198,-0.0032456057007126393
91,0.002489601393581564,0.0010580355549403841,-0.011540930893046919,-0.004328617375053634
92,0.001392658169800498,0.000517468621672762,-0.004749902526727856,-0.0024886987463049737
93,0.0021350606919617876,0.0008473905552222882,-0.005868081924998714,-0.0037410386725454936
94,0.0016711625339543845,0.0007262616716001702,-0.003822088477239527,-0.002944102321174702
95,0.001445278443197695,0.0006065416904855181,-0.0022665303755018407,-0.003364595622400768
96,0.002242014506666057,0.0010154297222052522,-0.009938512779930964,-0.0031795843039130745
97,0.0018160601858460135,0.0007661945943997495,-0.004192802657110306,-0.003147095264927513
98,0.0019128225893126904,0.0008856721234095366,-0.004119067654678343,-0.002124326254951625
99,0.0011262042977746023,0.00044930891545463814,-0.0007674466994814777,-0.0016096422424953793
100,0.0008126817185872826,0.0003870505227046295,-0.002551005084404867,-0.0015481660429792488
101,0.0012710387030421266,0.0005370743305873338,-0.0029002654829518026,-0.0013917041578088707
102,0.0024968917788036338,0.0010069662149548575,-0.004425369200416918,-0.0047770933807195215
103,0.0029576959373546208,0.0011927704321897104,-0.00541260046593367,-0.005414746543778826
104,0.0006901807678365568,0.0003174912221097781,-0.0037149462016507484,-0.001016612196334088
105,0.0015743723753572358,0.0006046624671064982,-0.005564962104640581,-0.0027033076478619744
106,0.0035228320295258575,0.0014909363543237075,-0.010162499046863671,-0.005046811712170363
107,0.001203327144413291,0.0004818757892365577,-0.0009429147556734296,-0.002672094523161972
108,0.0025188238873775637,0.0009396767334110268,-0.004609957322657676,-0.0034590521090038795
109,0.002669670799125501,0.0011230522458920145,-0.006255680110295425,-0.004052040309465488
110,0.002259783109422986,0.0009909572245419551,-0.00833751515198744,-0.0028518700159602117
111,0.003300372721226519,0.0014306621942058728,-0.011059493193430026,-0.004832526382372748
112,0.0015209959943125462,0.0005667283068424289,-0.0015099495385658135,-0.0031518477235702447
113,0.002167993399898094,0.0009731895394960166,-0.006935831834326611,-0.004154468577463377
114,0.001169032589987462,0.0004840044666489518,-0.0020762182547989783,-0.0018119955689190892
115,0.0016027988253206615,0.0007007484939679509,-0.0031808683259192394,-0.0027964051475930507
116,0.0014498451853530159,0.0006821260371505933,-0.005054271675727584,-0.001958140729327096
117,0.0026033401184407667,0.0012162633237298992,-0.006360467454643526,-0.0038569419442829878
118,0.002060489847839131,0.0008560284049879963,-0.008044362248941894,-0.0037000995550218185
119,0.003133771621743109,0.0012334614950706146,-0.006368580329584206,-0.005210883992695092
120,0.002560414056167748,0.0010625066587936494,-0.00580098123085665,-0.0033567033188742768
121,0.0007983988162568734,0.00025728382991777043,0.0002559297163075569,-0.0013901861210251498
122,0.0027869195532848057,0.0012074130381644066,-0.009163614921919139,-0.0038086632714529056
123,0.002247247164105959,0.0010184126736716148,-0.00539899575751418,-0.003233850357210466
124,0.00137831509291525,0.0005890112708114292,-0.004128142661328271,-0.0017945860327648333
125,0.002480872134033807,0.0009189758041160956,-0.007369165449798876,-0.004830347588968387
126,0.0012511805446683288,0.00044535776184459475,-0.0041435781527773274,-0.0029071315745332615
127,0.002881422799984712,0.0011392528397977664,-0.007998123964622683,-0.004535132291340727
128,0.0026317661077951415,0.0011859143746638101,-0.011154251781569147,-0.003703548280659996
129,8.956478899380116e-05,3.622741469688773e-05,0.0022834428678868424,-0.0005138850690769026
130,0.0005478600906425601,0.0002210159843381576,-0.0009786609042402028,-0.0014674823392324399
131,0.0018487921018816023,0.0007112791324712653,-0.0034330814723449454,-0.003539167509755692
